kind,#,name,N_SentenceSize,N_SentenceSize (score),N_XMLSize,N_XMLSize (score),R_Stability,R_Stability (score),N_InEdgeCount,N_InEdgeCount (score),N_OutEdgeCount,N_OutEdgeCount (score),R_XMLSimilarity,R_XMLSimilarity (score),R_XMLUniqueness,R_XMLUniqueness (score),N_PointlessAbstraction,N_PointlessAbstraction (score),R_TextSimilarity,R_TextSimilarity (score),N_TextSize,N_TextSize (score),N_SubSectionWidth,N_SubSectionWidth (score),N_SubSectionDepth,N_SubSectionDepth (score),N_BrokenRefs,N_BrokenRefs (score),N_BackRefs,N_BackRefs (score),N_TextSimilar,N_TextSimilar (score),R_TextUniqueness,R_TextUniqueness (score)
file,350,dc_vrp_overview_feature_1004.xml,1.0,0.05144702776140063,13.0,0.028089471996843324,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,351,dc_ne_hw_000368.xml,2.0,0.0932044807874702,13.0,0.028089471996843324,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.06542862779915162,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,352,dc_vrp_static-route_feature_0001.xml,5.0,0.15531516751685423,52.0,0.059434264716762435,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.1781592187037585,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,353,dc_vrp_mpls-l3vpn-v4_feature_0023.xml,24.0,0.5115992925072416,175.0,0.09455227009297393,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.9720564297341291,565.0,0.6236805761073296,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,0.9666666666666667,0.949119518571499
file,354,dc_vrp_te-p2p_feature_0013.xml,17.0,0.3623337007510702,80.0,0.07472440750696688,0.75,0.0,3.0,0.8274014052002667,1.0,0.2410380019488179,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.9598727371380654,336.0,0.4883348130610634,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,1.0,0.617098179953858,0.8571428571428571,0.9148128052088985
file,355,dc_ne_qos_feature_0121.xml,6.0,0.17307938786496116,24.0,0.0407654936003354,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.19438689947716287,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,356,dc_ne_hw_000171.xml,3.0,0.11378841865114968,102.0,0.08162963328318824,1.0,0.0,3.0,0.8274014052002667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.10503600670809904,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,0.0,0.0,0.0,0.0
file,357,dc_ne_qos_feature_0338.xml,11.0,0.24892978903386223,206.0,0.09842412883178377,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.30573641116701195,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,358,dc_ne_loadba_feature_0001.xml,1.0,0.05144702776140063,6.0,0.012010160546499298,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,359,dc_vrp_multicast_feature_0020.xml,6.0,0.17307938786496116,26.0,0.0407654936003354,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,93.0,0.14666568018151327,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,360,dc_vrp_vrrp_feature_0127.xml,2.0,0.0932044807874702,268.0,0.10367703272583788,1.0,0.0,3.0,0.8274014052002667,0.0,0.0,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,115.0,0.1781592187037585,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,2.0,0.8835080794375231,1.0,0.617098179953858,1.0,1.0
file,361,dc_ne_hw_000502.xml,70.0,0.7552997872394965,1313.0,0.13886902266393747,1.0,0.0,4.0,0.8825324375609006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07674684994272622,0.6542445617323533,1173.0,0.733575022195916,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,3.0,0.8979647218453188,6.0,0.6730838246603436,0.2061855670103092,0.6774034430030089
file,362,dc_ne_hw_000412.xml,40.0,0.6675809387095948,677.0,0.1185232681447138,1.0,0.0,9.0,0.9574849992307298,0.0,0.0,0.30156695156695157,0.863537710255019,0.5370370370370371,0.8743649188575938,0.0,0.0,0.29243827160493824,0.8106101711636167,887.0,0.6988014205386209,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,8.0,0.9315653139262365,27.0,0.7181748269674443,0.7708333333333334,0.8956247225373649
file,363,dc_vrp_ifm_feature_0038.xml,7.0,0.1863833277793443,41.0,0.05368813041012109,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,196.0,0.30573641116701195,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,364,dc_ne_cbb_cluster_0004.xml,1.0,0.05144702776140063,7.0,0.012010160546499298,1.0,0.0,1.0,0.4386635212062157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.03654927493341225,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,365,dc_vrp_dhcp_feature_0011.xml,9.0,0.21563148855451025,45.0,0.05368813041012109,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,145.0,0.2239321298214462,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
file,366,dc_vrp_logs_feature_2109.xml,4.0,0.1359360180461921,26.0,0.0407654936003354,1.0,0.0,2.0,0.7012410892866301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.10503600670809904,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,0.0,0.0,0.0,0.0
file,367,dc_vrp_netconf_feature_0022.xml,20.0,0.4317756530209428,100.0,0.08162963328318824,0.6666666666666666,1.0,2.0,0.7012410892866301,1.0,0.2410380019488179,1.0,0.995264637695457,1.0,1.0,0.0,0.0,1.0,1.0,364.0,0.5108266745585479,1.0,0.0,1.0,0.13642867715991513,0.0,0.0,1.0,0.8563957074133465,1.0,0.617098179953858,1.0,1.0
