FullQualifiedName,name,Maintainability,CBO,CYC_Classes,DAC,DIT,ILCOM,LCOM,LD,LEN,LOC,LOD_Class,MPC,NAM,NOC,NOM,RFC,TCC,WMC
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodUsesCustomMethodRule,MethodUsesCustomMethodRule,0.11740710270122036,1,1,1,0,1,0,0.5,26,13,1.0,0,3,0,2,2,1.0,2
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.DerivedAnnotatedMethod,DerivedAnnotatedMethod,0.18572603866721513,1,1,1,1,0,0,0.0,22,2,1.0,0,0,0,0,0,0.0,0
org.junit.runners.parameterized.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.ParametersRunnerFactory.java.ParametersRunnerFactory,ParametersRunnerFactory,0.1366378719319896,1,1,1,0,0,1,0.0,23,16,0.0,0,1,1,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodPrivateRule,MethodPrivateRule,0.18572603866721513,0,1,0,0,0,4,0.0,17,10,1.0,0,2,0,2,2,0.0,2
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.JUnit3ClassWithAnnotatedMethod,JUnit3ClassWithAnnotatedMethod,0.18572603866721513,1,1,1,0,0,4,0.0,30,8,1.0,0,2,1,2,2,0.0,2
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodSonOfWrongTypedField,MethodSonOfWrongTypedField,0.18572603866721513,1,1,1,1,0,0,0.0,26,3,1.0,0,0,0,0,0,0.0,0
org.junit.runners.parameterized.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.BlockJUnit4ClassRunnerWithParametersFactory.java.BlockJUnit4ClassRunnerWithParametersFactory,BlockJUnit4ClassRunnerWithParametersFactory,0.1366378719319896,3,1,3,1,0,1,0.0,43,13,0.5,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodWrongTypedField,MethodWrongTypedField,0.18572603866721513,0,1,0,0,0,4,0.0,21,10,1.0,0,2,1,2,2,0.0,2
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.ClassWithInvalidMethod,ClassWithInvalidMethod,0.18572603866721513,0,1,0,0,0,1,0.0,22,5,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.TestWatcher.java.TestWatcher,TestWatcher,0.1366378719319896,3,13,3,1,0,144,0.0,11,159,0.46153846153846156,0,12,2,12,12,0.0,13
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.BeforesAndAftersAreEnclosedByRule,BeforesAndAftersAreEnclosedByRule,0.04908816673522555,1,1,1,0,1,0,1.0,33,21,1.0,1,4,0,3,3,1.0,3
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.OneTest,OneTest,0.18572603866721513,0,1,0,0,0,1,0.0,7,4,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodNoRulesTest,MethodNoRulesTest,0.18572603866721513,0,1,0,0,0,1,0.0,17,8,1.0,0,2,0,1,1,0.0,1
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.AnnotatedTest,AnnotatedTest,0.18572603866721513,0,1,0,0,0,1,0.0,13,6,1.0,0,1,0,1,1,0.0,1
org.junit.runners.parameterized.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.BlockJUnit4ClassRunnerWithParameters.RunAfterParams,RunAfterParams,0.18572603866721513,1,3,0,0,0,1,0.0,14,11,1.0,0,1,0,1,1,0.0,1
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest.MyTest,MyTest,0.18572603866721513,0,1,0,0,0,1,0.0,6,5,1.0,0,1,0,1,1,0.0,1
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.JUnit38ClassRunnerTest.java.JUnit38ClassRunnerTest,JUnit38ClassRunnerTest,0.11740710270122036,8,1,8,0,1,62,1.0,22,130,0.8888888888888888,0,9,0,8,8,0.0,10
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodMultipleRuleTest.Increment,Increment,0.18572603866721513,0,1,0,0,0,1,0.0,9,11,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodMultipleRuleTest,MethodMultipleRuleTest,0.18572603866721513,1,1,1,0,0,9,0.0,22,32,1.0,0,3,0,3,3,0.0,3
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodSonOfExampleTest,MethodSonOfExampleTest,0.18572603866721513,1,1,1,1,0,0,0.0,22,3,1.0,0,0,0,0,0,0.0,0
org.junit.rules.Throwables.java.TestRule.java.TestRule,TestRule,0.17815028109145756,8,13,8,0,0,1,0.0,8,51,0.0,0,1,8,1,1,0.0,1
org.junit.runners.parameterized.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.BlockJUnit4ClassRunnerWithParameters.RunBeforeParams,RunBeforeParams,0.18572603866721513,1,3,0,0,0,1,0.0,15,11,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodOneFieldTwoKindsOfRule,MethodOneFieldTwoKindsOfRule,0.11740710270122036,1,1,1,0,1,0,0.5,28,13,1.0,0,3,0,2,2,1.0,2
org.junit.samples.money.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.MoneyTest.java.MoneyTest,MoneyTest,0.18572603866721513,0,1,0,0,0,625,0.0,9,192,1.0,0,25,0,25,25,0.0,25
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodBothKindsOfRule,MethodBothKindsOfRule,0.11740710270122036,0,1,0,0,1,0,0.0,21,14,1.0,0,3,0,2,2,1.0,2
org.junit.experimental.categories.Categories.java.Categories.CategoryFilter,CategoryFilter,0.0683189359659948,2,3,1,0,1,281,1.0,14,192,0.7777777777777778,4,21,0,17,18,0.0,34
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.MethodExampleTest,MethodExampleTest,0.18572603866721513,0,1,0,0,0,4,0.0,17,23,1.0,0,2,1,2,2,0.0,2
org.junit.samples.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.SimpleTest.java.SimpleTest,SimpleTest,0.1366378719319896,0,1,0,0,2,12,0.0,10,39,0.8,0,7,0,4,4,0.0,4
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.UsesCustomMethodRule,UsesCustomMethodRule,0.18572603866721513,1,1,1,0,1,0,0.0,20,9,1.0,0,2,0,1,1,0.0,1
org.junit.tests.junit3compatibility.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.StopwatchTest.java.RuleContainerTest.java.RuleContainerTest.WithAutoGeneratedDataPoints.java.ForwardCompatibilityPrintingTest.java.ForwardCompatibilityPrintingTest.ATest,ATest,0.18572603866721513,0,1,0,0,0,1,0.0,5,6,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.CustomTestName,CustomTestName,0.18572603866721513,0,1,0,0,0,1,0.0,14,13,1.0,0,2,0,1,1,0.0,1
org.junit.experimental.categories.Categories.java.Categories,Categories,0.18572603866721513,3,3,3,0,0,49,0.0,10,358,875,1,7,0,7,7,0.0,12
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.PrivateRule,PrivateRule,0.18572603866721513,0,1,0,0,0,1,0.0,11,8,1.0,0,1,0,1,1,0.0,1
org.junit.rules.Throwables.java.MethodSorters.java.BlockJUnit4ClassRunnerWithParameters.java.TestRuleTest.java.TestRuleTest.SonOfWrongTypedField,SonOfWrongTypedField,0.18572603866721513,1,1,1,1,0,0,0.0,20,3,1.0,0,0,0,0,0,0.0,0
